apName,protocol,ssid
200,DOT11N5GHZ,NUS_STU
200,DOT11N2_4GNZ,NUS_STU
200,DOT11N2_4GNZ,NUS_STU_2-4GHz
201,DOT11N2_4GNZ,NUS_STU
201,DOT11N2_4GNZ,NUS_STU_2-4GHz
202,DOT11N2_4GNZ,NUS_STU
202,DOT11N2_4GNZ,NUS_STU_2-4GHz
203,DOT11N2_4GNZ,NUS_STU
203,DOT11N2_4GNZ,NUS_STU_2-4GHz
204,DOT11AC,NUS_STU
204,DOT11N5GHZ,NUS_STU
204,DOT11N2_4GNZ,NUS_STU
204,DOT11N2_4GNZ,NUS_STU_2-4GHz
205,DOT11AC,NUS_STU
205,DOT11N2_4GNZ,NUS_STU
206,DOT11AC,NUS_STU
206,DOT11N2_4GNZ,eduroam
206,DOT11N2_4GNZ,NUS_STU
206,DOT11N2_4GNZ,NUS_STU_2-4GHz
207,DOT11AC,NUS_STU
207,DOT11N5GHZ,NUS_STU
207,DOT11N2_4GNZ,NUS_STU
207,DOT11N2_4GNZ,NUS_STU_2-4GHz
208,DOT11AC,NUS_STU
